,doi,chunk,abstract_bool,definition_bool,table_bool
0,ponds1,-1,True,,
1,ponds1,0,True,False,False
2,ponds1,1,True,False,False
3,ponds1,2,True,False,False
4,ponds1,3,True,False,True
5,ponds1,4,True,False,False
6,ponds1,5,True,False,False
7,ponds1,6,True,False,False
8,ponds1,7,True,False,False
9,lakes3,-1,True,,
10,lakes3,0,True,False,False
11,lakes3,1,True,False,False
12,lakes3,2,True,False,False
13,lakes3,3,True,False,False
14,lakes3,4,True,False,False
15,lakes3,5,True,False,False
16,lakes3,6,True,False,False
17,lakes3,7,True,False,False
18,lakes3,8,True,False,False
19,lakes3,9,True,False,False
20,lakes3,10,True,False,False
21,lakes3,11,True,False,False
22,lakes3,12,True,False,False
23,lakes3,13,True,False,False
24,lakes3,14,True,False,False
25,lakes3,15,True,False,False
26,lakes2,-1,True,,
27,lakes2,0,True,False,False
28,lakes2,1,True,False,False
29,lakes2,2,True,False,False
30,lakes2,3,True,False,False
31,lakes2,4,True,False,False
32,lakes2,5,True,False,False
33,lakes2,6,True,False,False
34,lakes2,7,True,False,False
35,lakes2,8,True,False,False
36,lakes2,9,True,False,False
37,lakes2,10,True,False,False
38,lakes2,11,True,False,True
39,lakes2,12,True,False,False
40,fake1,-1,False,,
41,ponds3,-1,True,,
42,ponds3,0,True,False,False
43,ponds3,1,True,False,False
44,ponds3,2,True,False,False
45,ponds3,3,True,False,False
46,ponds3,4,True,False,False
47,ponds3,5,True,False,False
48,ponds3,6,True,False,False
49,ponds3,7,True,False,False
50,ponds3,8,True,False,False
51,ponds3,9,True,False,False
52,ponds3,10,True,False,False
53,ponds3,11,True,False,False
54,ponds3,12,True,False,False
55,definitions3,-1,True,,
56,definitions3,0,True,False,False
57,definitions3,1,True,False,False
58,definitions3,2,True,False,False
59,definitions3,3,True,False,False
60,definitions3,4,True,False,False
61,definitions3,5,True,False,False
62,definitions3,6,True,False,False
63,definitions3,7,True,False,False
64,definitions3,8,True,False,False
65,definitions3,9,True,False,False
66,definitions3,10,True,False,True
67,definitions3,11,True,False,False
68,fake3,-1,False,,
69,lakes1,-1,False,,
70,fake2,-1,False,,
71,definitions2,-1,True,,
72,definitions2,0,True,False,False
73,definitions2,1,True,False,False
74,definitions2,2,True,False,False
75,definitions2,3,True,False,False
76,definitions2,4,True,False,False
77,definitions2,5,True,False,False
78,definitions2,6,True,False,False
79,definitions2,7,True,False,False
80,definitions2,8,True,False,False
81,definitions2,9,True,False,False
82,definitions2,10,True,False,False
83,definitions2,11,True,False,False
84,definitions2,12,True,False,False
85,definitions2,13,True,False,False
86,definitions2,14,True,False,False
87,definitions2,15,True,False,False
88,definitions2,16,True,False,False
89,definitions2,17,True,False,False
90,definitions2,18,True,False,False
91,definitions2,19,True,False,False
92,definitions2,20,True,False,False
93,definitions2,21,True,False,False
94,definitions2,22,True,False,False
95,definitions2,23,True,False,False
96,definitions2,24,True,False,False
97,definitions2,25,True,False,False
98,definitions2,26,True,False,False
99,ponds2,-1,True,,
100,ponds2,0,True,False,False
101,ponds2,1,True,False,False
102,ponds2,2,True,False,False
103,ponds2,3,True,False,False
104,ponds2,4,True,False,False
105,ponds2,5,True,False,False
106,ponds2,6,True,False,False
107,ponds2,7,True,False,False
108,ponds2,8,True,False,False
109,ponds2,9,True,False,False
110,definitions1,-1,True,,
111,definitions1,0,True,False,False
112,definitions1,1,True,False,False
113,definitions1,2,True,False,False
114,definitions1,3,True,False,False
115,definitions1,4,True,False,False
116,definitions1,5,True,False,False
117,definitions1,6,True,False,False
118,definitions1,7,True,False,False
119,definitions1,8,True,False,False
120,definitions1,9,True,False,False
