,doi,chunk,abstract_bool,definition_bool,table_bool,definition
0,ponds1,-1,True,,,
1,ponds1,0,True,False,False,
2,ponds1,1,True,False,True,
3,ponds1,2,True,False,False,
4,ponds1,3,True,False,True,
5,ponds1,4,True,False,False,
6,ponds1,5,True,False,False,
7,ponds1,6,True,False,False,
8,ponds1,7,True,False,False,
9,lakes3,-1,True,,,
10,lakes3,0,True,False,False,
11,lakes3,1,True,False,False,
12,lakes3,2,True,False,True,
13,lakes3,3,True,False,False,
14,lakes3,4,True,False,False,
15,lakes3,5,True,False,True,
16,lakes3,6,True,False,False,
17,lakes3,7,True,False,False,
18,lakes3,8,True,False,False,
19,lakes3,9,True,False,True,
20,lakes3,10,True,False,True,
21,lakes3,11,True,False,False,
22,lakes3,12,True,False,True,
23,lakes3,13,True,False,True,
24,lakes3,14,True,False,True,
25,lakes3,15,True,False,True,
26,lakes2,-1,True,,,
27,lakes2,0,True,False,False,
28,lakes2,1,True,False,False,
29,lakes2,2,True,False,True,
30,lakes2,3,True,False,False,
31,lakes2,4,True,False,False,
32,lakes2,5,True,False,False,
33,lakes2,6,True,False,False,
34,lakes2,7,True,False,True,
35,lakes2,8,True,False,False,
36,lakes2,9,True,False,False,
37,lakes2,10,True,False,False,
38,lakes2,11,True,False,True,
39,lakes2,12,True,False,True,
40,fake1,-1,False,,,
41,ponds3,-1,True,,,
42,ponds3,0,True,False,False,
43,ponds3,1,True,False,True,
44,ponds3,2,True,False,True,
45,ponds3,3,True,False,False,
46,ponds3,4,True,False,True,
47,ponds3,5,True,False,True,
48,ponds3,6,True,False,True,
49,ponds3,7,True,False,True,
50,ponds3,8,True,False,False,
51,ponds3,9,True,False,False,
52,ponds3,10,True,False,True,
53,ponds3,11,True,False,True,
54,ponds3,12,True,False,False,
55,definitions3,-1,True,,,
56,definitions3,0,True,False,False,
57,definitions3,1,True,True,False,"Ponds are generally defined as small (1 m<sup>2</sup> to ∼50,000 m<sup>2</sup>), shallow, standing water bodies that can either permanently or temporarily collect freshwater. 

</end_of_turn>"
58,definitions3,2,True,False,False,
59,definitions3,3,True,False,False,
60,definitions3,4,True,False,False,
61,definitions3,5,True,False,False,
62,definitions3,6,True,False,False,
63,definitions3,7,True,False,False,
64,definitions3,8,True,False,False,
65,definitions3,9,True,False,False,
66,definitions3,10,True,False,True,
67,definitions3,11,True,False,False,
68,fake3,-1,False,,,
69,lakes1,-1,True,,,
70,lakes1,0,True,False,False,
71,lakes1,1,True,False,False,
72,lakes1,2,True,False,False,
73,lakes1,3,True,False,True,
74,lakes1,4,True,False,False,
75,lakes1,5,True,False,True,
76,lakes1,6,True,False,False,
77,lakes1,7,True,False,False,
78,lakes1,8,True,False,True,
79,lakes1,9,True,False,False,
80,lakes1,10,True,False,True,
81,lakes1,11,True,False,False,
82,lakes1,12,True,False,True,
83,fake2,-1,False,,,
84,definitions2,-1,True,,,
85,definitions2,0,True,False,False,
86,definitions2,1,True,True,False,"Ponds are small standing waters varying in size from 1 m<sup>2</sup> to about 2-5 ha in area and may be permanent or seasonal, man-made or naturally created. 

</end_of_turn>"
87,definitions2,2,True,False,False,
88,definitions2,3,True,False,False,
89,definitions2,4,True,False,False,
90,definitions2,5,True,False,False,
91,definitions2,6,True,False,False,
92,definitions2,7,True,False,False,
93,definitions2,8,True,False,False,
94,definitions2,9,True,False,False,
95,definitions2,10,True,False,False,
96,definitions2,11,True,False,False,
97,definitions2,12,True,False,False,
98,definitions2,13,True,False,False,
99,definitions2,14,True,False,False,
100,definitions2,15,True,False,False,
101,definitions2,16,True,False,False,
102,definitions2,17,True,False,False,
103,definitions2,18,True,False,False,
104,definitions2,19,True,False,False,
105,definitions2,20,True,False,False,
106,definitions2,21,True,False,False,
107,definitions2,22,True,False,False,
108,definitions2,23,True,False,False,
109,definitions2,24,True,False,False,
110,definitions2,25,True,False,False,
111,definitions2,26,True,False,False,
112,ponds2,-1,True,,,
113,ponds2,0,True,True,False,"The context defines **ponds** as: “small lentic ecosystems that permanently or temporarily hold water [1]. They are shallow and their size ranges from a few square metres to several hectares.”

It also defines **lakes** as constituting “a small percentage of the total number of lakes” but does not provide a specific definition beyond that.
"
114,ponds2,1,True,False,False,
115,ponds2,2,True,False,True,
116,ponds2,3,True,False,False,
117,ponds2,4,True,False,False,
118,ponds2,5,True,False,False,
119,ponds2,6,True,False,True,
120,ponds2,7,True,False,True,
121,ponds2,8,True,False,True,
122,ponds2,9,True,False,True,
123,definitions1,-1,True,,,
124,definitions1,0,True,False,False,
125,definitions1,1,True,False,False,
126,definitions1,2,True,False,True,
127,definitions1,3,True,False,False,
128,definitions1,4,True,False,False,
129,definitions1,5,True,False,False,
130,definitions1,6,True,False,True,
131,definitions1,7,True,False,False,
132,definitions1,8,True,False,True,
133,definitions1,9,True,False,True,
