,doi,chunk,abstract_bool,definition_bool,table_bool,definition
0,ponds1,-1,True,,,
1,ponds1,0,True,False,False,
2,ponds1,1,True,False,True,
3,ponds1,2,True,False,False,
4,ponds1,3,True,False,True,
5,ponds1,4,True,False,True,
6,ponds1,5,True,False,True,
7,ponds1,6,True,False,False,
8,ponds1,7,True,False,False,
9,lakes3,-1,True,,,
10,lakes3,0,True,False,False,
11,lakes3,1,True,False,False,
12,lakes3,2,True,False,True,
13,lakes3,3,True,False,False,
14,lakes3,4,True,False,False,
15,lakes3,5,True,False,True,
16,lakes3,6,True,False,True,
17,lakes3,7,True,False,False,
18,lakes3,8,True,False,False,
19,lakes3,9,True,False,True,
20,lakes3,10,True,False,True,
21,lakes3,11,True,False,False,
22,lakes3,12,True,False,True,
23,lakes3,13,True,False,True,
24,lakes3,14,True,False,True,
25,lakes3,15,True,False,True,
26,lakes2,-1,True,,,
27,lakes2,0,True,False,False,
28,lakes2,1,True,False,False,
29,lakes2,2,True,False,True,
30,lakes2,3,True,False,False,
31,lakes2,4,True,False,False,
32,lakes2,5,True,False,False,
33,lakes2,6,True,False,True,
34,lakes2,7,True,False,True,
35,lakes2,8,True,False,True,
36,lakes2,9,True,False,False,
37,lakes2,10,True,False,False,
38,lakes2,11,True,False,True,
39,lakes2,12,True,False,True,
40,fake1,-1,False,,,
41,ponds3,-1,True,,,
42,ponds3,0,True,True,False,"The context defines ponds as **small (\<1000 m<sup>2</sup>), temporary, forested ponds**. It also distinguishes them from larger **lakes**.
"
43,ponds3,1,True,True,True,"The context states that **over 90% of all ponds and lakes are <0.01 km<sup>2</sup>**. It also distinguishes **very small ponds** as being **<0.001 km<sup>2</sup>** and notes they could number as high as 3.2 billion and cover 0.8 million km<sup>2</sup> of surface area. 

Additionally, the study specifically examines **very small (<0.001 km<sup>2</sup>), temporary ponds**.
"
44,ponds3,2,True,False,True,
45,ponds3,3,True,False,False,
46,ponds3,4,True,False,True,
47,ponds3,5,True,False,True,
48,ponds3,6,True,False,True,
49,ponds3,7,True,False,True,
50,ponds3,8,True,False,True,
51,ponds3,9,True,False,False,
52,ponds3,10,True,False,True,
53,ponds3,11,True,False,True,
54,ponds3,12,True,False,True,
55,definitions3,-1,True,,,
56,definitions3,0,True,False,False,
57,definitions3,1,True,True,False,"The context defines ponds as **small (1 m² to ∼50,000 m²)**, **shallow**, **standing water bodies** that can either **permanently or temporarily collect freshwater**. 

It also states that ponds house a **richer tapestry of aquatic plant and macroinvertebrate species** than **larger water bodies (e.g., lakes and rivers)**.
"
58,definitions3,2,True,False,False,
59,definitions3,3,True,False,False,
60,definitions3,4,True,False,False,
61,definitions3,5,True,False,True,
62,definitions3,6,True,False,False,
63,definitions3,7,True,False,False,
64,definitions3,8,True,False,False,
65,definitions3,9,True,False,False,
66,definitions3,10,True,False,True,
67,definitions3,11,True,False,False,
68,fake3,-1,False,,,
69,lakes1,-1,True,,,
70,lakes1,0,True,False,False,
71,lakes1,1,True,False,False,
72,lakes1,2,True,False,True,
73,lakes1,3,True,False,True,
74,lakes1,4,True,False,False,
75,lakes1,5,True,False,True,
76,lakes1,6,True,False,True,
77,lakes1,7,True,False,False,
78,lakes1,8,True,False,True,
